id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;school;attendance;;Schule;Anwesenheit;;école;présence;;scuola;frequenza;
c2;education;enrolment;;Ausbildung;Einschreibung;;l'éducation;inscription;;istruzione;iscrizione;
c3;school attendance;inclusive education;;Schulbesuch;inklusive Bildung;;fréquentation scolaire;éducation inclusive;;frequenza scolastica;educazione inclusiva;
c4;school enrolment;;;Einschulung;;;inscription à l'école;;;iscrizione a scuola;;
c5;school safety;;;Sicherheit in der Schule;;;sécurité à l'école;;;sicurezza a scuola;;
c6;safety in school;;;Sicherheit in der Schule;;;sécurité à l'école;;;sicurezza a scuola;;
c7;inclusive education;;;Inklusive Bildung;;;éducation inclusive;;;educazione inclusiva;;
c8;educational quality;;;BildungsQualität;;;qualité de l'enseignement;;;qualità dell'istruzione;;
c9;educational enrolment;;;Bildungsbeteiligung;;;inscription à l'école;;;iscrizione all'istruzione;;
c10;adult literacy;;;Alphabetisierung von Erwachsenen;;;alphabétisation des adultes;;;alfabetizzazione degli adulti;;
c11;numeracy rate;;;Alphabetisierungsrate;;;taux de numératie;;;tasso di calcolo;;
c12;educational environment;;;Bildungsumfeld;;;environnement éducatif;;;ambiente educativo;;
c13;educational access;;;Zugang zur Bildung;;;accès à éducation;;;accesso all'istruzione;;
c14;development aid;teacher training;;Entwicklungshilfe;Lehrerausbildung;;aide au développement;formation des enseignants;;aiuto allo sviluppo;formazione degli insegnanti;
c15;early childhood education;;;Frühkindliche Bildung;;;éducation de la petite enfance;;;educazione della prima infanzia;;
c16;basic education;;;Grundbildung;;;éducation de base;;;istruzione di base;;
c17;affordable education;;;Erschwingliche Bildung;;;éducation abordable;;;istruzione a prezzi accessibili;;
c18;educational financial aid;;;Finanzielle Unterstützung für Bildung;;;aide financière à l'éducation;;;aiuti finanziari all'istruzione;;
c19;learning opportunities;gender disparities;;Lernangebote;Geschlechterdisparitäten;;éducation de base;disparités entre les sexes;;opportunità di apprendimento;disparità di genere;
c20;learning opportunities;empowerment;;Lernangebote;Ermächtigung;;opportunités d'apprentissage;autonomisation;;opportunità di apprendimento;empowerment;
c21;youth empowerment;;;Befähigung der Jugend;;;autonomisation des jeunes;;;emancipazione dei giovani;;
c22;women empowerment;;;Ermächtigung von Frauen;;;autonomisation des femmes;;;emancipazione femminile;;
c23;equal opportunities;;;Chancengleichheit;;;égalité des chances;;;pari opportunità;;
c24;child labor;;;Kinderarbeitr;;;travail des enfants;;;lavoro minorile;;
c25;discriminatory;;;diskriminierend;;;discriminatoire;;;discriminatorio;;
c26;educational gap;;;Bildungslücke;;;fossé éducatif;;;divario educativo;;
c27;poverty trap;schooling;;Armutsfalle;Schulbildung;;piège de la pauvreté;scolarisation;;trappola della povertà;scolarizzazione;
c28;special education needs;;;besondere Bildungsbedürfnisse;;;besoins éducatifs spéciaux;;;bisogni educativi speciali;;
c29;inclusive education system;;;integratives Bildungssystem;;;système éducatif inclusif;;;sistema educativo inclusivo;;
c30;schooling;;;Schulbildung;;;scolarité;;;scolarizzazione;;
c31;gender disparities;;;geschlechtsspezifische Ungleichheiten;;;disparités entre les sexes;;;disparità di genere;;
c32;ethnic disparities;;;ethnische Ungleichheiten;;;disparités ethniques;;;disparità etniche;;
c33;racial disparities;;;rassische Ungleichheiten;;;disparités raciales;;;disparità razziali;;
c34;education exclusion;;;Ausgrenzung im Bildungswesen;;;exclusion de l'éducation;;;esclusione dall'istruzione;;
c35;education dropouts;;;Bildungsabbrecher;;;décrochage scolaire;;;abbandono scolastico;;
c36;global citizenship;;;Weltbürgerschaft;;;citoyenneté mondiale;;;cittadinanza globale;;
c37;sustainable development education;;;Bildung für nachhaltige Entwicklung;;;éducation au développement durable;;;educazione allo sviluppo sostenibile;;
c38;environmental education;;;Umweltbildung;;;éducation à l'environnement;;;educazione ambientale;;
c39;education policy;;;Bildungspolitik;;;politique d'éducation;;;politica educativa;;
c40;educational policies;;;Bildungspolitik;;;politiques éducatives;;;politiche educative;;
c41;international education;;;internationale Bildung;;;éducation internationale;;;educazione internazionale;;
c42;education reform;developing countries;;Reform der Bildung;Entwicklungsländer;;réforme de l'éducation;pays en développement;;riforma dell'istruzione;Paesi in via di sviluppo;
c43;educational governance;;;Bildungspolitik;;;gouvernance de l'éducation;;;governance educativa;;
c44;developing countries;;;Entwicklungsländer;;;pays en développement;;;paesi in via di sviluppo;;
c45;school effects;;;Auswirkungen auf die Schule;;;effets de l'école;;;effetti della scuola;;
c46;education expenditure;;;Bildungsausgaben;;;dans l'éducation;;;spesa per l'istruzione;;
c47;foreign aid;;;Auslandshilfe;;;aide aide étrangère;;;aiuti esteri;;
c48;teacher training;developing countries;;Lehrerausbildung;Entwicklungsländer;;formation des enseignants;pays en développement;;formazione degli insegnanti;paesi in via di sviluppo;
c49;teacher attrition;;AND  {health literacy};Lehrerfluktuation;;AND {Gesundheitskompetenz};attrition des enseignants;;ET {compétence en matière de santé};abbandono degli insegnanti;;E {alfabetizzazione sanitaria}
