id;keyword_en;required_context_en;forbidden_context_ex;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;economic growth;;;Wirtschaftswachstum;;;la croissance économique;;;crescita economica;;
c2;economic development policy;;;Politik der wirtschaftlichen Entwicklung;;;politique de développement économique;;;politica di sviluppo economico;;
c3;employment policy;;;Beschäftigungspolitik;;;politique de l'emploi;;;politica per l'occupazione;;
c4;inclusive economic growth;;;integratives Wirtschaftswachstum;;;croissance économique inclusive;;;crescita economica inclusiva;;
c5;sustainable growth;;;Nachhaltiges Wachstum;;;croissance durable;;;crescita sostenibile;;
c6;economic development;;;Wirtschaftliche Entwicklung;;;développement économique;;;sviluppo economico;;
c7;economic globaliation;;;wirtschaftliche Globalisierung;;;mondialisation de l'économie;;;globalizzazione economica;;
c8;economic productivity;;;wirtschaftliche Produktivität;;;productivité économique;;;produttività economica;;
c9;low-carbon economy;;;kohlenstoffarme Wirtschaft;;;économie à faible émission de carbone;;;economia a basse emissioni di carbonio;;
c10;inclusive growth;;;integratives Wachstum;;;croissance inclusive;;;crescita inclusiva;;
c11;microfinanc;;;MikroFinanzierung;;;microfinancement;;;microfinanza;;
c12;microcredit;;;MikroKredit;;;microcrédit;;;microcredito;;
c13;equal income;;;gleiches Einkommen;;;revenu égal;;;reddito uguale;;
c14;equal wages;;;gleiche Löhne;;;salaires égaux;;;salari uguali;;
c15;decent job;;;Angemessene Arbeit;;;emploi décent;;;lavoro dignitoso;;
c16;quality job;;;hochwertige Arbeit;;;emploi de qualité;;;lavoro di qualità;;
c17;job creation;;;Schaffung von Arbeitsplätzen;;;création d'emplois;;;creazione di posti di lavoro;;
c18;full employment;;;Vollbeschäftigung;;;plein emploi;;;piena occupazione;;
c19;employment protection;;;Schutz der Beschäftigung;;;protection de l'emploi;;;protezione dell'occupazione;;
c20;informal employment;;;informelle Beschäftigung;;;emploi informel;;;occupazione informale;;
c21;precarious employment;;;Prekäre Beschäftigung;;;emploi précaire;;;occupazione precaria;;
c22;unemployment;;;Arbeitslosigkeit;;;chômage;;;disoccupazione;;
c23;precarious job;;;prekäre Beschäftigung;;;emploi précaire;;;lavoro precario;;
c24;microenterprise;;;MikroUnternehmen;;;microentreprise;;;microimpresa;;
c25;small enterprise;;;Kleinunternehmen;;;petite entreprise;;;piccola impresa;;
c26;medium enterprise;;;mittleres Unternehmen;;;moyenne entreprise;;;media impresa;;
c27;small entrepreneur;;;Kleinunternehmer;;;petit entrepreneur;;;piccolo imprenditore;;
c28;starting entrepreneur;;;Jungunternehmer;;;entrepreneur débutant;;;imprenditore iniziale;;
c29;medium entrepreneur;;;mittleres Unternehmen;;;moyenne entreprise;;;medio imprenditore;;
c30;social entrepreneurship;;;soziales Unternehmertum;;;entrepreneuriat social;;;imprenditoria sociale;;
c31;safe working environment;;;sicheres Arbeitsumfeld;;;environnement de travail sûr;;;ambiente di lavoro sicuro;;
c32;labor market institution;;;Arbeitsmarktinstitution;;;institution du marché du travail;;;istituzione del mercato del lavoro;;
c33;labour market institution;;;Arbeitsmarktinstitution;;;institution du marché du travail;;;istituzione del mercato del lavoro;;
c34;forced labor;;;Zwangsarbeitr;;;travail forcé;;;lavoro forzato;;
c35;child labor;;;Kinderarbeitr;;;labor enfant;;;lavoro minorile;;
c36;labor right;;;Arbeitsrecht;;;droit de labor;;;diritto al lavoro;;
c37;modern slavery;;;moderne Sklaverei;;;esclavage moderne;;;schiavitù moderna;;
c38;human trafficking;;;Menschenhandel;;;trafic d'êtres humains;;;traffico di esseri umani;;
c39;child soldier;;;Kindersoldatin;;;enfant soldat;;;bambino soldato;;
c40;global jobs;;;globale Arbeitsplätze;;;emplois mondiaux;;;lavoro globale;;
c41;living wage;;;existenzsichernder Lohn;;;salaire de subsistance;;;salario di sussistenza;;
c42;minimum wage;;;Mindestlohn;;;salaire minimum;;;salario minimo;;
c43;circular economy;;;Kreislaufwirtschaft;;;économie circulaire;;;economia circolare;;
c44;inclusive economy;;;integrative Wirtschaft;;;économie inclusive;;;economia inclusiva;;
c45;rural economy;;;ländliche Wirtschaft;;;économie rurale;;;economia rurale;;
c46;Foreign Development Investment;;;Ausländische Entwicklungsinvestitionen;;;Investissement étranger de développement;;;Investimenti esteri per lo sviluppo;;
c47;Aid for Trade;;;Hilfe für den Handel;;;Aide au commerce;;;Aiuto al commercio;;
c48;trade union;;;Gewerkschaft;;;syndicat;;;sindacato;;
c49;working poor;;;arbeitende Arme;;;travailleurs pauvres;;;lavoratori poveri;;
c50;Not in Education;;;Nicht in Bildung;;;Pas dans l'éducation;;;Non nell'istruzione;;
c51;Employment;;;Beschäftigung;;;Emploi;;;Occupazione;;
c52;or Training;;;oder Ausbildung;;;ou formation;;;o formazione;;
c53;carbon offset;;;Kohlenstoffausgleich;;;compensation carbone;;;compensazione di carbonio;;
c54;carbon offsetting;;;Kompensation von Kohlenstoff;;;compensation carbone;;;compensazione di carbonio;;
c55;offset project;;;Ausgleichsprojekt;;;projet de compensation;;;progetto di compensazione;;
c56;economic diversification;;;wirtschaftliche Diversifizierung;;;diversification économique;;;diversificazione economica;;
c57;material footprint;;;materieller Fußabdruck;;;empreinte matérielle;;;impronta materiale;;
c58;resource efficiency;;;Ressourceneffizienz;;;efficacité des ressources;;;efficienza delle risorse;;
c59;cradle to cradle;economy;;Von der Wiege zur Wiege;Wirtschaft;;du berceau au berceau;économie;;dalla culla alla culla;economia;
c60;economic decoupling;;;wirtschaftliche Entkopplung;;;découplage économique;;;disaccoppiamento economico;;
c61;labour market disparities;;;Ungleichheiten auf dem Arbeitsmarkt;;;disparités sur le marché du travail;;;disparità del mercato del lavoro;;
