id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;industrial growth;;;industrielles Wachstum;;;la croissance industrielle;;;crescita industriale;;
c2;industrial diversification;;;industrielle Diversifizierung;;;la diversification industrielle;;;diversificazione industriale;;
c3;infrastructural development;;;infrastrukturelle Entwicklung;;;développement des infrastructures;;;sviluppo infrastrutturale;;
c4;infrastructur investment;;;Investitionen in die Infrastruktur;;;investissement dans les infrastructures;;;investimenti infrastrutturali;;
c5;public infrastructure;;;öffentliche Infrastruktur;;;infrastructure publique;;;infrastrutture pubbliche;;
c6;resilient infrastructure;;;widerstandsfähige Infrastruktur;;;infrastructure résiliente;;;infrastrutture resilienti;;
c7;transborder infrastructure;;;Grenzüberschreitende Infrastruktur;;;infrastructures transfrontalières;;;infrastrutture transfrontaliere;;
c8;public infrastructures;;;Öffentliche Infrastrukturen;;;infrastructures publiques;;;infrastrutture pubbliche;;
c9;resilient infrastructures;;;widerstandsfähige Infrastrukturen;;;infrastructures résilientes;;;infrastrutture resilienti;;
c10;transborder infrastructures;industrial emissions;;Grenzüberschreitende Infrastrukturen;Industrieemissionen;;infrastructures transfrontalières;émissions industrielles;;infrastrutture transfrontaliere;emissioni industriali;
c11;transborder infrastructures;mitigation;;Grenzüberschreitende Infrastrukturen;Abschwächung;;infrastructures transfrontalières;atténuation;;infrastrutture transfrontaliere;mitigazione;
c12;industrial waste management;;;industrielle Abfallwirtschaft;;;gestion des déchets industriels;;;gestione dei rifiuti industriali;;
c13;industrial waste treatment;;;Behandlung von Industrieabfällen;;;traitement des déchets industriels;;;trattamento dei rifiuti industriali;;
c14;traffic congestion;;;Verkehrsüberlastung;;;congestion du trafic;;;congestione del traffico;;
c15;microenterprise;;;MikroUnternehmen;;;microentreprise;;;microimpresa;;
c16;small enterprise;;;Kleinunternehmen;;;petite entreprise;;;piccola impresa;;
c17;medium enterprise;;;mittleres Unternehmen;;;moyenne entreprise;;;media impresa;;
c18;small entrepreneur;;;Kleinunternehmer;;;petit entrepreneur;;;piccolo imprenditore;;
c19;medium entrepreneur;;;mittleres Unternehmen;;;moyenne entreprise;;;medio imprenditore;;
c20;value chain management;broadband access;;Management der Wertschöpfungskette;Breitbandzugang;;gestion de la chaîne de valeur;accès à la large bande;;gestione della catena del valore;accesso alla banda larga;
c21;value chain management;developing countries;;Management der Wertschöpfungskette;Entwicklungsländer;;gestion de la chaîne de valeur;pays en développement;;gestione della catena del valore;paesi in via di sviluppo;
c22;manufacturing innovation;;;Innovation im verarbeitenden Gewerbe;;;innovation manufacturière;;;innovazione manifatturiera;;
c23;manufacturing investment;;;Investitionen in der Fertigung;;;investissement dans la fabrication;;;investimenti nel settore manifatturiero;;
c24;sustainable transportation;;;Nachhaltiger Transport;;;transport durable;;;trasporto sostenibile;;
c25;accessible transportation;;;zugänglicher Transport;;;transport accessible;;;trasporto accessibile;;
c26;transportation services;;;Transportdienstleistungen;;;services de transport;;;servizi di trasporto;;
c27;inclusive transportation;;;integratives Verkehrswesen;;;transport inclusif;;;trasporto inclusivo;;
c28;R&D investment;;;F&E-Investitionen;;;investissement en R&D;;;investimenti in R&S;;
c29;green product;;;grünes Produkt;;;produit vert;;;prodotto verde;;
c30;sustainable manufacturing;cradle to cradle;;nachhaltige Produktion;Von der Wiege bis zur Wiege;;fabrication durable;du berceau au berceau;;produzione sostenibile;dalla culla alla culla;
c31;sustainable manufacturing;industry;;Nachhaltige Fertigung;Industrie;;fabrication durable;industrie;;produzione sostenibile;industria;
c32;closed loop supply chain;industrial;;geschlossene Lieferkette;Industrie;;chaîne d'approvisionnement en boucle fermée;industrie;;catena di fornitura a ciclo chiuso;industriale;
c33;closed loop supply chain;innovation;;geschlossene Lieferkette;Innovation;;chaîne d'approvisionnement en circuit fermé;innovation;;catena di fornitura a ciclo chiuso;innovazione;
c34;process innovation;product innovation;;Prozessinnovation;Produktinnovation;;innovation de processus;innovation de produit;;innovazione di processo;innovazione di prodotto;
c35;process innovation;inclusive innovation;;Prozessinnovation;integrative Innovation;;innovation de processus;innovation inclusive;;innovazione di processo;innovazione inclusiva;
c36;;;;;;;;;;;;
