c1;2030 challenge;NA;2030 Herausforderung;NA;Défi 2030;NA;sfida del 2030;NA
c2;acea agreement;NA;Acea Vereinbarung;NA;accord acea;NA;accordo acea;NA
c3;air pollution;NA;Luftverschmutzung;NA;pollution de l'air;NA;inquinamento dell'aria;NA
c4;air source heat pump;NA;Luftwärmepumpe;NA;pompe à chaleur à air;NA;pompa di calore a fonte d'aria;NA
c5;alpine convention;NA;alpine Konvention;NA;convention alpine;NA;convenzione alpina;NA
c6;arctic resources race;NA;arktische Ressourcen rennen;NA;course aux ressources arctiques;NA;corsa alle risorse artiche;NA
c7;atmospheric pollution;NA;Atmosphärische Verschmutzung;NA;pollution atmosphérique;NA;inquinamento atmosferico;NA
c8;autonomous building;NA;autonomes Gebäude;NA;bâtiment autonome;NA;edificio autonomo;NA
c9;azolla event;NA;Azolla-Ereignis;NA;événement azolla;NA;evento azolla;NA
c10;battery electric bus;NA;Batterie elektrischer Bus;NA;bus électrique à batterie;NA;autobus elettrico a batteria;NA
c11;bioenergy;NA;Bioenergie;NA;bioénergie;NA;bioenergia;NA
c12;biofuel;NA;Biotreibstoff;NA;biocarburant;NA;biocarburante;NA
c13;biogas;NA;Biogas;NA;biogaz;NA;biogas;NA
c14;bluecity;NA;Bluecity;NA;bluecity;NA;bluecity;NA
c15;building airtightness;NA;Luftdichtheit aufbauen;NA;étanchéité des bâtiments;NA;ermeticità dell'edificio;NA
c16;building performance;NA;Gebäudeleistung;NA;performance des bâtiments;NA;prestazioni dell'edificio;NA
c17;c02;NA;c02;NA;c02;NA;c02;NA
c18;cap and dividend;NA;Kappe und Dividende;NA;plafond et dividende;NA;cap e dividendo;NA
c19;cap and share;NA;Kappe und teilen;NA;cap and share;NA;tappo e azione;NA
c20;carbon accounting;NA;Kohlenstoffbilanzierung;NA;comptabilité carbone;NA;contabilità del carbonio;NA
c21;carbon audit;NA;Kohlenstoffaudit;NA;audit carbone;NA;audit del carbonio;NA
c22;carbon credit;NA;Kohlenstoffkredit;NA;crédit carbone;NA;credito di carbonio;NA
c23;carbon dioxide;NA;Kohlendioxid;NA;dioxyde de carbone;NA;anidride carbonica;NA
c24;carbon dioxide equivalent;NA;Kohlendioxidäquivalent;NA;équivalent dioxyde de carbone;NA;biossido di carbonio equivalente;NA
c25;carbon dioxide flooding;NA;Kohlendioxidflutung;NA;inondation de dioxyde de carbone;NA;inondazione di biossido di carbonio;NA
c26;carbon dioxide removal;NA;Kohlendioxidentfernung;NA;élimination du dioxyde de carbone;NA;rimozione del biossido di carbonio;NA
c27;carbon dividend;NA;Kohlenstoffdividende;NA;dividende carbone;NA;dividendo di carbonio;NA
c28;carbon emission;NA;Kohlenstoffemission;NA;émission de carbone;NA;emissione di carbonio;NA
c29;carbon fee;NA;CO2-Gebühr;NA;redevance carbone;NA;tassa sul carbonio;NA
c30;carbon finance;NA;CO2-Finanzierung;NA;finance carbone;NA;finanza del carbonio;NA
c31;carbon footprint;NA;CO2-Fußabdruck;NA;empreinte carbone;NA;impronta di carbonio;NA
c32;carbon leakage;NA;Kohlenstoffleckage;NA;fuite de carbone;NA;perdita di carbonio;NA
c33;carbon monitoring;NA;Kohlenstoffüberwachung;NA;suivi du carbone;NA;monitoraggio del carbonio;NA
c34;carbon neutral fuel;NA;klimaneutraler Kraftstoff;NA;carburant neutre en carbone;NA;carburante neutro al carbonio;NA
c35;carbon neutrality coalition;NA;Koalition der Kohlenstoffneutralität;NA;coalition pour la neutralité carbone;NA;coalizione per la neutralità del carbonio;NA
c36;carbon offset;NA;"Kohlenstoffreduktion; ""Kohlendioxid Reduktion";NA;compensation carbone;NA;compensazione del carbonio;NA
c37;carbon pollution reduction scheme;NA;System zur Reduzierung der Kohlenstoffverschmutzung;NA;système de réduction de la pollution par le carbone;NA;schema di riduzione dell'inquinamento da carbonio;NA
c38;carbon profiling;NA;Kohlenstoffprofilierung;NA;profilage du carbone;NA;profilo del carbonio;NA
c39;carbon rationing;NA;Kohlenstoffrationierung;NA;rationnement du carbone;NA;razionamento del carbonio;NA
c40;carbon reduction;NA;Kohlenstoffreduktion;NA;réduction du carbone;NA;riduzione del carbonio;NA
c41;carbon retirement;NA;Kohlenstoff-Ruhestand;NA;retraite carbone;NA;ritiro del carbonio;NA
c42;carbon shifting;NA;Kohlenstoffverschiebung;NA;transfert de carbone;NA;trasferimento del carbonio;NA
c43;carbon tax;NA;Kohlenstoffsteuer;NA;taxe carbone;NA;tassa sul carbonio;NA
c44;carbon trade watch;NA;Carbon Trade Watch;NA;surveillance du commerce du carbone;NA;orologio del commercio del carbonio;NA
c45;cavity wall insulation;NA;Hohlwanddämmung;NA;isolation des murs creux;NA;isolamento delle cavità murarie;NA
c46;certified emission reduction;NA;zertifizierte Emissionsminderung;NA;réduction certifiée des émissions;NA;riduzione certificata delle emissioni;NA
c47;changing climate;NA;Klima ändern;NA;changement climatique;NA;cambiamento del clima;NA
c48;changing weather patterns;NA;wechselnde Wettermuster;NA;changement de climat;NA;cambiamento dei modelli meteorologici;NA
c49;chicago climate exchange;NA;Chicago Klimaaustausch;NA;chicago climate exchange;NA;borsa del clima di chicago;NA
c50;citizens' climate lobby;NA;Bürgerklima-Lobby;NA;lobby climatique des citoyens;NA;lobby dei cittadini per il clima;NA
c51;climate action;NA;Klimaschutz;NA;action climatique;NA;azione per il clima;NA
c52;climate adaptation;NA;Klimaanpassung;NA;adaptation climatique;NA;adattamento al clima;NA
c53;climate alliance;NA;Klima-Allianz;NA;alliance climatique;NA;alleanza per il clima;NA
c54;climate bond;NA;Klimabindung;NA;obligation climatique;NA;legame sul clima;NA
c55;climate capitalism;NA;Klimakapitalismus;NA;capitalisme climatique;NA;capitalismo del clima;NA
c56;climate change;NA;Klimawandel;NA;changement climatique;NA;cambiamento climatico;NA
c57;climate change adaptation;NA;Anpassung an den Klimawandel;NA;adaptation au changement climatique;NA;adattamento al cambiamento climatico;NA
c58;climate change denial;NA;Verweigerung des Klimawandels;NA;déni du changement climatique;NA;negazione del cambiamento climatico;NA
c59;climate change management;NA;Management des Klimawandels;NA;gestion du changement climatique;NA;gestione del cambiamento climatico;NA
c60;climate change mitigation;NA;Klimaschutz;NA;atténuation du changement climatique;NA;mitigazione del cambiamento climatico;NA
c61;climate change planning;NA;Planung des Klimawandels;NA;planification du changement climatique;NA;pianificazione del cambiamento climatico;NA
c62;climate change policy;NA;Klimapolitik;NA;politique de changement climatique;NA;politica del cambiamento climatico;NA
c63;climate change, industry and society;NA;Klimawandel, Industrie und Gesellschaft;NA;changement climatique, industrie et société;NA;cambiamento climatico, industria e società;NA
