c1;absorption heat pump;NA;Absorptionswärmepumpe;NA;pompe à chaleur à absorption;NA;pompa di calore ad assorbimento;NA
c2;agrivoltaic;NA;agrivoltaisch;NA;agrivoltaïque;NA;agrivoltaico;NA
c3;air source heat pumps;NA;Luft-Wärmepumpen;NA;pompes à chaleur à air;NA;pompe di calore ad aria;NA
c4;airborne wind turbine;NA;Windturbine in der Luft;NA;éolienne aéroportée;NA;turbina eolica ad aria;NA
c5;alcohol fuel;NA;Alkoholkraftstoff;NA;carburant à base d'alcool;NA;combustibile alcolico;NA
c6;algae bioreactor;NA;Algen-Bioreaktor;NA;bioréacteur à algues;NA;bioreattore ad alghe;NA
c7;algae fuel;NA;Algenkraftstoff;NA;carburant à base d'algues;NA;carburante alle alghe;NA
c8;alkaline anion exchange membrane fuel cell;NA;Alkalische Anionenaustauschmembran-Brennstoffzelle;NA;pile à combustible alcaline à membrane échangeuse d'anions;NA;cella a combustibile alcalina a membrana a scambio anionico;NA
c9;alkaline fuel cell;NA;alkalische Brennstoffzelle;NA;pile à combustible alcaline;NA;cella a combustibile alcalina;NA
c10;alternative energy;NA;alternative Energie;NA;énergie alternative;NA;energia alternativa;NA
c11;alternative fuel;NA;alternativer Kraftstoff;NA;carburant alternatif;NA;carburante alternativo;NA
c12;alternatives to car use;NA;Alternativen zur Autonutzung;NA;alternatives à l'utilisation de la voiture;NA;alternative all'uso dell'auto;NA
c13;aluminium recycling;NA;Aluminium-Recycling;NA;recyclage de l'aluminium;NA;riciclaggio dell'alluminio;NA
c14;aluminium–air battery;NA;Aluminium-Luft-Batterie;NA;batterie aluminium-air;NA;batteria alluminio-aria;NA
c15;appliance recycling;NA;Geräterecycling;NA;recyclage des appareils;NA;riciclaggio di elettrodomestici;NA
c16;autonomous building;NA;Autonomes Bauen;NA;construction autonome;NA;edificio autonomo;NA
c17;bi-fuel vehicle;NA;Biokraftstoff-Fahrzeug;NA;véhicule bicarburant;NA;veicolo bi-carburante;NA
c18;biobased economy;NA;biobasierte Wirtschaft;NA;économie biosourcée;NA;economia biobased;NA
c19;bioconversion;NA;Biokonversion;NA;bioconversion;NA;bioconversione;NA
c20;biodegradable electronics;NA;biologisch abbaubare Elektronik;NA;électronique biodégradable;NA;elettronica biodegradabile;NA
c21;bioenergy;NA;Bioenergie;NA;bioénergie;NA;bioenergia;NA
c22;biofuel;NA;Biokraftstoff;NA;biocarburant;NA;biocarburante;NA
c23;biogas;NA;Biogas;NA;biogaz;NA;biogas;NA
c24;biogasoline;NA;Biobenzin;NA;biogazoline;NA;biogasolina;NA
c25;biological hydrogen production (algae);NA;Biologische Wasserstofferzeugung (Algen);NA;production d'hydrogène biologique (algues);NA;produzione biologica di idrogeno (alghe);NA
c26;biomass briquettes;NA;Biomasse-Briketts;NA;briquettes de biomasse;NA;bricchette di biomassa;NA
c27;blue carbon;NA;Blauer Kohlenstoff;NA;carbone bleu;NA;carbonio blu;NA
c28;bottle recycling;NA;Flaschenrecycling;NA;recyclage des bouteilles;NA;riciclaggio di bottiglie;NA
c29;building insulation;NA;Gebäudeisolierung;NA;isolation du bâtiment;NA;isolamento dell'edificio;NA
c30;building performance;NA;Gebäudeleistung;NA;performance des bâtiments;NA;rendimento degli edifici;NA
