id;keyword_en;required_context_en;keyword_de;required_context_de;keyword_fr;required_context_fr;keyword_it;required_context_it
c1;acidification;NA;Versauerung;NA;acidification;NA;acidificazione;NA
c2;acidity;NA;Säuregehalt;NA;acidité;NA;acidità;NA
c3;albacore;NA;Weißer Thun;NA;germon;NA;tonno bianco;NA
c4;anglerfish;NA;Seeteufel;NA;baudroie;NA;rana pescatrice;NA
c5;antarctic toothfish;NA;Antarktischer Zahnfisch;NA;légine antarctique;NA;austromerluzzo antartico;NA
c6;aquaculture;NA;Aquakultur;NA;aquaculture;NA;acquacoltura;NA
c7;aquatic ecosystems;NA;aquatische Ökosysteme;NA;écosystèmes aquatiques;NA;ecosistemi acquatici;NA
c8;aquatic resource;NA;aquatische Ressource;NA;ressources aquatiques;NA;risorsa acquatica;NA
c9;arhynchobatidae;NA;Arhynchobatidae;NA;arhynchobatidae;NA;arhynchobatidae;NA
c10;artisanal fisher;NA;handwerkliche Fischerei;NA;pêcheur artisanal;NA;pesca artigianale;NA
c11;artisanal fishery;NA;handwerkliche Fischerei;NA;pêche artisanale;NA;pesca artigianale;NA
c12;atlantic halibut;NA;atlantischer Heilbutt;NA;flétan atlantique;NA;ippoglosso atlantico;NA
c13;atlantic salmon;NA;atlantischer Lachs;NA;saumon de l'atlantique;NA;salmone atlantico;NA
c14;barndoor skate;NA;Scheunentor-Rochen;NA;raie barndoor;NA;pattino barndoor;NA
c15;beach cleanup;NA;Strandsäuberung;NA;Nettoyage de plage;NA;pulizia della spiaggia;NA
c16;biodiversity;NA;biologische vielfalt;NA;biodiversité;NA;biodiversità;NA
c17;biodiversity conservation;NA;erhaltung der biologischen vielfalt;NA;conservation de la biodiversité;NA;conservazione della biodiversità;NA
c18;blast fishing;NA;Sprengfischerei;NA;pêche à l'explosif;NA;pesca con l'esplosivo;NA
c19;blue grenadier;NA;Blauer Grenadierfisch;NA;grenadier bleu;NA;granatiere blu;NA
c20;bottlenose skate;NA;Großer Rochen;NA;marsouin;NA;razza tursiope;NA
c21;bycatch;NA;Beifang;NA;prises accessoires;NA;bycatch;NA
