c1;accessible toilet;NA;barrierefreie Toilette;NA;toilettes accessibles;NA;toilette accessibile;NA
c2;accessible water;NA;zugängliches Wasser;NA;eau accessible;NA;acqua accessibile;NA
c3;advanced oxidation process;NA;fortschrittliches Oxidationsverfahren;NA;processus d'oxydation avancée;NA;processo di ossidazione avanzata;NA
c4;aerobic granulation;NA;aerobe Granulierung;NA;granulation aérobie;NA;granulazione aerobica;NA
c5;aerobic treatment system;NA;aerobes Behandlungssystem;NA;système de traitement aérobie;NA;sistema di trattamento aerobico;NA
c6;affordable drinking water;NA;erschwingliches Trinkwasser;NA;eau potable abordable;NA;acqua potabile a prezzi accessibili;NA
c7;agricultural pollution;NA;Landwirtschaftliche Verschmutzung;NA;pollution agricole;NA;inquinamento agricolo;NA
c8;agricultural wastewater treatment;NA;Landwirtschaftliche Abwasserbehandlung;NA;traitement des eaux usées agricoles;NA;trattamento delle acque reflue agricole;NA
c9;air sparging;NA;Luftdurchspülung;NA;barbotage d'air;NA;sparging dell'aria;NA
c10;algal bloom;NA;Algenblüte;NA;efflorescence algale;NA;fioritura algale;NA
c11;aquatic ecosystem;NA;aquatisches Ökosystem;NA;écosystème aquatique;NA;ecosistema acquatico;NA
c12;aquatic toxicology;NA;Gewässertoxikologie;NA;toxicologie aquatique;NA;tossicologia acquatica;NA
c13;aquifer;NA;Grundwasserleiter;NA;aquifère;NA;falda acquifera;NA
c14;aquifer storage and recovery;NA;Speicherung und Rückgewinnung von Grundwasser;NA;stockage et récupération des aquifères;NA;stoccaggio e recupero della falda acquifera;NA
c15;arsenic contamination of groundwater;NA;Arsenkontamination des Grundwassers;NA;contamination des eaux souterraines par l'arsenic;NA;contaminazione da arsenico delle acque sotterranee;NA
c16;artesian aquifer;NA;artesischer Grundwasserleiter;NA;aquifère artésien;NA;falda acquifera artesiana;NA
c17;atmospheric water generator;NA;Atmosphärischer Wassergenerator;NA;générateur d'eau atmosphérique;NA;generatore di acqua atmosferica;NA
c18;automatic self-clean toilet seat;NA;Automatisch selbstreinigender Toilettensitz;NA;siège de toilette automatique autonettoyant;NA;sedile del water automatico e autopulente;NA
c19;backswamp;NA;Rückstau;NA;backswamp;NA;backswamp;NA
c20;bacteriological water analysis;NA;Bakteriologische Wasseranalyse;NA;analyse bactériologique de l'eau;NA;analisi batteriologica dell'acqua;NA
c21;bank filtration;NA;Uferfiltration;NA;filtration de banque;NA;filtrazione della banca;NA
c22;barcelona convention;NA;barcelona-konvention;NA;convention de barcelone;NA;convenzione di barcellona;NA
c23;bas saharan basin;NA;Bas-Sahara-Becken;NA;bassin bas saharien;NA;bacino bas sahariano;NA
c24;basic sanitation;NA;sanitäre Grundversorgung;NA;assainissement de base;NA;igiene di base;NA
c25;belt philtre;NA;band philtre;NA;philtre de ceinture;NA;cintura philtre;NA
c26;biofilter;NA;biofilter;NA;biofiltre;NA;biofiltro;NA
c27;biosand philtre;NA;biosand philtre;NA;biosand philtre;NA;biosabbia philtre;NA
