c1;water cycle*;NA;Wasserkreislauf*;NA;Wasserkreislauf*;NA;ciclo dell'acqua*;NA
c2;biogeochemical cycle*;NA;biogeochemischer Kreislauf*;NA;biogeochemischer Kreislauf*;NA;ciclo biogeochimico*;NA
c3;oceanic circulation model*;NA;Ozeanisches Zirkulationsmodell*;NA;Ozeanisches Zirkulationsmodell*;NA;modello di circolazione oceanica*;NA
c4;oceanic circulation model*ing;NA;Modell der ozeanischen Zirkulation*ing;NA;Modell der ozeanischen Zirkulation*ing;NA;modello di circolazione oceanica*ing;NA
c5;ice-ocean;NA;Eis-Ozean;NA;Eis-Ozean;NA;ghiaccio-oceano;NA
c6;eutrophicat*;NA;Eutrophierung*;NA;Eutrophierung*;NA;eutrofizzato*;NA
c7;marine;NA;Meer;NA;Meer;NA;marino;NA
c8;coral bleach*;NA;Korallenbleiche*;NA;Korallenbleiche*;NA;sbiancamento dei coralli*;NA
c9;coastal management;NA;Küstenmanagement;NA;Küstenmanagement;NA;gestione costiera;NA
c10;coastal habitat*;NA;Küstenlebensraum*;NA;Küstenlebensraum*;NA;habitat costiero*;NA
c11;marine debris;NA;Meeresmüll;NA;Meeresmüll;NA;detriti marini;NA
c12;ocean acidification;NA;Ozeanübersäuerung;NA;Ozeanübersäuerung;NA;acidificazione degli oceani;NA
c13;acidification;seawater;Versauerung;Meerwasser;Versauerung;Meerwasser;acidificazione;acqua di mare
c14;fishery;NA;Fischerei;NA;Fischerei;NA;pesca;NA
c15;fisheries;NA;Fischerei;NA;Fischerei;NA;pesca;NA
c16;overfishing;NA;Überfischung;NA;Überfischung;NA;sovrasfruttamento;NA
c17;sustainable yield;NA;Nachhaltiger Ertrag;NA;Nachhaltiger Ertrag;NA;rendimento sostenibile;NA
c18;marine protected area*;NA;Meeresschutzgebiet*;NA;Meeresschutzgebiet*;NA;area marina protetta*;NA
c19;marine conservation;NA;Meeresschutz;NA;Meeresschutz;NA;conservazione marina;NA
c20;ecotourism;NA;Ökotourismus;NA;Ökotourismus;NA;ecoturismo;NA
c21;community*based conservation;NA;gemeinde*basierter Naturschutz;NA;gemeinde*basierter Naturschutz;NA;conservazione basata sulla comunità;NA
c22;marine land slide;NA;Landverschiebung im Meer;NA;Landverschiebung im Meer;NA;scivolo terrestre marino;NA
c23;marine pollution;NA;Meeresverschmutzung;NA;Meeresverschmutzung;NA;inquinamento marino;NA
c24;nutrient runoff;NA;Nährstoffabfluss;NA;Nährstoffabfluss;NA;deflusso dei nutrienti;NA
c25;coastal ecotourism;NA;Ökotourismus an der Küste;NA;Ökotourismus an der Küste;NA;ecoturismo costiero;NA
c26;destructive fishing;NA;Zerstörerische Fischerei;NA;Zerstörerische Fischerei;NA;pesca distruttiva;NA
c27;local fisheries;NA;Lokale Fischerei;NA;Lokale Fischerei;NA;pesca locale;NA
c28;artisanal fishers;NA;handwerkliche Fischer;NA;handwerkliche Fischer;NA;pescatori artigianali;NA
c29;fisheries rights;NA;Fischereirechte;NA;Fischereirechte;NA;diritti di pesca;NA
c30;species richness;NA;Artenreichtum;NA;Artenreichtum;NA;ricchezza delle specie;NA
c31;traditional ecological knowledge;NA;traditionelles ökologisches Wissen;NA;traditionelles ökologisches Wissen;NA;conoscenze ecologiche tradizionali;NA
c32;small Island development states;NA;kleine Inselentwicklungsstaaten;NA;kleine Inselentwicklungsstaaten;NA;piccoli Stati insulari in via di sviluppo;NA
c33;marine quota;NA;Meeresquote;NA;Meeresquote;NA;quota marina;NA
c34;marine economy;NA;Meereswirtschaft;NA;Meereswirtschaft;NA;economia marina;NA
c35;marine policy;NA;Meerespolitik;NA;Meerespolitik;NA;politica marina;NA
c36;paleoceanography;NA;Paläo-Ozeanografie;NA;Paläo-Ozeanografie;NA;paleoceanografia;NA
c37;radiocarbon;NA;Radiokohlenstoff;NA;Radiokohlenstoff;NA;radiocarbonio;NA
c38;genetics;NA;Genetik;NA;Genetik;NA;genetica;NA
c39;medicine;NA;Medizin;NA;Medizin;NA;medicina;NA
c40;drug;NA;Arzneimittel;NA;Arzneimittel;NA;farmaco;NA
c41;engineering;NA;Technik;NA;Technik;NA;ingegneria;NA
c42;aerosol;NA;Aerosol;NA;Aerosol;NA;aerosol;NA
