id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;health;human;;Gesundheit;menschlich;;santé;humain;;salute;umano;
c2;disease;human;;Krankheit;menschlich;;maladie;humain;;malattia;umano;
c3;illness;human;;Krankheit;menschlich;;maladie;humain;;malattia;umano;
c4;medicine;human;;Medizin;menschlich;;médecine;humain;;medicina;umano;
c5;mortality;human;;Sterblichkeit;menschlich;;mortalité;humain;;mortalità;umano;
c6;battered child syndrome;;;Syndrom des misshandelten Kindes;;;syndrome de l'enfant battu;;;sindrome del bambino maltrattato;;
c7;cardiovascular disease;;;Herz-Kreislauf-Erkrankung;;;maladie cardiovasculaire;;;malattia cardiovascolare;;
c8;chagas;;;Chagas;;;chagas;;;chagas;;
c9;child abuse;;;Kindesmisshandlung;;;maltraitance des enfants;;;abuso infantile;;
c10;child neglect;;;Vernachlässigung von Kindern;;;négligence envers les enfants;;;trascuratezza infantile;;
c11;child well-being index;;;Index des Kindeswohls;;;indice de bien-être des enfants;;;indice di benessere dei bambini;;
c12;youth well-being index;;;Index für das Wohlbefinden von Jugendlichen;;;indice de bien-être des jeunes;;;indice di benessere giovanile;;
c13;child wellbeing index;;;Index für das Wohlergehen von Kindern;;;indice de bien-être des enfants;;;indice di benessere infantile;;
c14;youth wellbeing index;;;Index des Wohlbefindens von Jugendlichen;;;indice de bien-être des jeunes;;;indice di benessere dei giovani;;
c15;waterborne disease;;;Wasserübertragene Krankheit;;;maladies transmises par l'eau;;;malattie trasmesse dall'acqua;;
c16;tropical disease;;;Tropenkrankheit;;;maladie tropicale;;;malattia tropicale;;
c17;tropical diseases;;;Tropenkrankheiten;;;maladies tropicales;;;malattie tropicali;;
c18;chronic respiratory disease;;;chronische Atemwegserkrankungen;;;maladies respiratoires chroniques;;;malattie respiratorie croniche;;
c19;infectious disease;;;Infektionskrankheit;;;maladies infectieuses;;;malattia infettiva;;
c20;sexuallytransmitted disease;;;sexuellübertragene Krankheit;;;maladies sexuellementtransmissibles;;;malattie sessualmentetrasmesse;;
c21;communicable diseases;;;übertragbare Krankheiten;;;maladies transmissibles;;;malattie trasmissibili;;
c22;aids;;;aids;;;sida;;;aids;;
c23;hiv;;;hiv;;;vih;;;hiv;;
c24;human immunodeficiency virus;;;Humanes Immundefizienz-Virus;;;virus de l'immunodéficience humaine;;;virus dell'immunodeficienza umana;;
c25;tuberculosis;;;Tuberkulose;;;tuberculose;;;tubercolosi;;
c26;malaria;;;malaria;;;malaria;;;malaria;;
c27;hepatitis;;;Hepatitis;;;hépatite;;;epatite;;
c28;polio;;;Polio;;;polio;;;poliomielite;;
c29;vaccin;;;Impfstoff;;;vaccin;;;vaccino;;
c30;cancer;;;Krebs;;;cancer;;;cancro;;
c31;diabet;;;Diabetiker;;;diabète;;;diabete;;
c32;maternal mortality;;;Müttersterblichkeit;;;mortalité maternelle;;;mortalità materna;;
c33;child mortality;;;Kindersterblichkeit;;;mortalité infantile;;;mortalità infantile;;
c34;childbirth complications;;;Komplikationen bei der Geburt;;;complications de l'accouchement;;;complicazioni del parto;;
c35;neonatal mortality;;;Neonatale Sterblichkeit;;;mortalité néonatale;;;mortalità neonatale;;
c36;premature mortality;;;Frühgeborenensterblichkeit;;;mortalité prématurée;;;mortalità prematura;;
c37;infant mortality;;;Säuglingssterblichkeit;;;mortalité infantile;;;mortalità infantile;;
c38;quality adjusted life year;;;Qualitätsbereinigtes Lebensjahr;;;année de vie ajustée sur la qualité;;;anno di vita aggiustato per la qualità;;
c39;maternal health;;;Gesundheit von Müttern;;;santé maternelle;;;salute materna;;
c40;preventable deaths;;;Vermeidbare Todesfälle;;;décès évitables;;;morti prevenibili;;
c41;tobacco control;;;Eindämmung des Tabakkonsums;;;lutte contre le tabagisme;;;controllo del tabacco;;
c42;substance abuse;;;Drogenmissbrauch;;;abus de substances;;;abuso di sostanze;;
c43;drug abuse;;;Drogenmissbrauch;;;abus de drogues;;;abuso di droghe;;
c44;tobacco use;;;Tabakkonsum;;;consommation de tabac;;;uso di tabacco;;
c45;alcohol use;;;Alkoholkonsum;;;consommation d'alcool;;;uso di alcol;;
c46;substance addiction;;;Substanzabhängigkeit;;;toxicomanie;;;dipendenza da sostanze;;
c47;drug addiction;;;Drogenabhängigkeit;;;toxicomanie;;;dipendenza da droga;;
c48;tobacco addiction;;;Tabakabhängigkeit;;;dépendance au tabac;;;dipendenza da tabacco;;
c49;alcoholism;;;Alkoholismus;;;alcoolisme;;;alcolismo;;
c50;suicid;;;Selbstmord;;;suicidaire;;;suicidio;;
c51;postnatal depression;;;postnatale Depression;;;dépression postnatale;;;depressione postnatale;;
c52;zika virus;;;Zika-Virus;;;virus zika;;;virus zika;;
c53;dengue;;;Dengue-Virus;;;dengue;;;dengue;;
c54;schistosomiasis;;;Schistosomiasis;;;schistosomiase;;;schistosomiasi;;
c55;sleeping sickness;;;Schlafkrankheit;;;maladie du sommeil;;;malattia del sonno;;
c56;ebola;;;Ebola;;;ebola;;;ebola;;
c57;mental health;;;Psychische Gesundheit;;;santé mentale;;;salute mentale;;
c58;mental disorder;;;psychische Störung;;;troubles mentaux;;;disturbo mentale;;
c59;mental illnesse;;;Geisteskrankheit;;;maladie mentale;;;malattia mentale;;
c60;measles;;;Masern;;;rougeole;;;morbillo;;
c61;neglected disease;;;vernachlässigte Krankheit;;;maladie négligée;;;malattia trascurata;;
c62;diarrhea;;;Diarrhöe;;;diarrhée;;;diarrea;;
c63;diarrhoea;;;Diarrhöe;;;diarrhée;;;diarrea;;
c64;cholera;;;Cholera;;;choléra;;;colera;;
c65;dysentery;;;Dysenterie;;;dysenterie;;;dissenteria;;
c66;typhoid fever;;;Typhus;;;fièvre typhoïde;;;febbre tifoidea;;
c67;traffic accident;;;Verkehrsunfall;;;accident de la circulation;;;incidente stradale;;
c68;healthy lifestyle;;;gesunde Lebensweise;;;hygiène de vie;;;stile di vita sano;;
c69;life expectancy;;;Lebenserwartung;;;espérance de vie;;;aspettativa di vita;;
c70;life expectancie;;;Lebenserwartung;;;espérance de vie;;;aspettativa di vita;;
c71;health policy;;;Gesundheitspolitik;;;politique de santé;;;politica sanitaria;;
c72;health system;access;;Gesundheitssystem;Zugang;;système de santé;accès;;sistema sanitario;accesso;
c73;health system;accessible;;Gesundheitssystem;zugänglich;;système de santé;accessible;;sistema sanitario;accessibile;
c74;health risk;;;Gesundheitsrisiko;;;risque sanitaire;;;rischio per la salute;;
c75;inclusive health;;;Integrative Gesundheit;;;santé inclusive;;;salute inclusiva;;
c76;obesity;;;Fettleibigkeit;;;obésité;;;obesità;;
c77;social determinants of health;;;Soziale Determinanten der Gesundheit;;;déterminants sociaux de la santé;;;determinanti sociali della salute;;
c78;psychological harm;;;Psychischer Schaden;;;préjudice psychologique;;;danno psicologico;;
c79;psychological wellbeing;;;psychologisches Wohlbefinden;;;bien-être psychologique;;;benessere psicologico;;
c80;public health;;;öffentliche Gesundheit;;;santé publique;;;salute pubblica;;
