id;keyword_en;required_context_en;keyword_de;required_context_de;keyword_fr;required_context_fr;keyword_it;required_context_it
c1;industrial growth;NA;industrielles Wachstum;NA;la croissance industrielle;NA;crescita industriale;NA
c2;industrial diversification;NA;industrielle Diversifizierung;NA;la diversification industrielle;NA;diversificazione industriale;NA
c3;infrastructural development;NA;infrastrukturelle Entwicklung;NA;développement des infrastructures;NA;sviluppo infrastrutturale;NA
c4;infrastructur* investment;NA;Investitionen in die Infrastruktur*;NA;investissement dans les infrastructures;NA;investimenti infrastrutturali;NA
c5;public infrastructure;NA;öffentliche Infrastruktur;NA;infrastructure publique;NA;infrastrutture pubbliche;NA
c6;resilient infrastructure;NA;widerstandsfähige Infrastruktur;NA;infrastructure résiliente;NA;infrastrutture resilienti;NA
c7;transborder infrastructure;NA;Grenzüberschreitende Infrastruktur;NA;infrastructures transfrontalières;NA;infrastrutture transfrontaliere;NA
c8;public infrastructures;NA;Öffentliche Infrastrukturen;NA;infrastructures publiques;NA;infrastrutture pubbliche;NA
c9;resilient infrastructures;NA;widerstandsfähige Infrastrukturen;NA;infrastructures résilientes;NA;infrastrutture resilienti;NA
c10;transborder infrastructures;industrial emissions;Grenzüberschreitende Infrastrukturen;Industrieemissionen;infrastructures transfrontalières;émissions industrielles;infrastrutture transfrontaliere;emissioni industriali
c11;transborder infrastructures;mitigation;Grenzüberschreitende Infrastrukturen;Abschwächung;infrastructures transfrontalières;atténuation;infrastrutture transfrontaliere;mitigazione
c12;industrial waste management;NA;industrielle Abfallwirtschaft;NA;gestion des déchets industriels;NA;gestione dei rifiuti industriali;NA
c13;industrial waste treatment;NA;Behandlung von Industrieabfällen;NA;traitement des déchets industriels;NA;trattamento dei rifiuti industriali;NA
c14;traffic congestion;NA;Verkehrsüberlastung;NA;congestion du trafic;NA;congestione del traffico;NA
c15;micro*enterprise*;NA;Mikro*Unternehmen*;NA;micro*entreprise*;NA;micro*impresa*;NA
c16;small enterprise*;NA;Kleinunternehmen*;NA;petite entreprise*;NA;piccola impresa*;NA
c17;medium enterprise*;NA;mittleres Unternehmen*;NA;moyenne entreprise*;NA;media impresa*;NA
c18;small entrepreneur*;NA;Kleinunternehmer*;NA;petit entrepreneur;NA;piccolo imprenditore*;NA
c19;medium entrepreneur*;NA;mittleres Unternehmen*;NA;moyenne entreprise;NA;medio imprenditore*;NA
c20;value chain management;broadband access;Management der Wertschöpfungskette;Breitbandzugang;gestion de la chaîne de valeur;accès à la large bande;gestione della catena del valore;accesso alla banda larga
c21;value chain management;developing countries;Management der Wertschöpfungskette;Entwicklungsländer;gestion de la chaîne de valeur;pays en développement;gestione della catena del valore;paesi in via di sviluppo
c22;manufacturing innovation;NA;Innovation im verarbeitenden Gewerbe;NA;innovation manufacturière;NA;innovazione manifatturiera;NA
c23;manufacturing investment;NA;Investitionen in der Fertigung;NA;investissement dans la fabrication;NA;investimenti nel settore manifatturiero;NA
c24;sustainable transportation;NA;Nachhaltiger Transport;NA;transport durable;NA;trasporto sostenibile;NA
c25;accessible transportation;NA;zugänglicher Transport;NA;transport accessible;NA;trasporto accessibile;NA
c26;transportation services;NA;Transportdienstleistungen;NA;services de transport;NA;servizi di trasporto;NA
c27;inclusive transportation;NA;integratives Verkehrswesen;NA;transport inclusif;NA;trasporto inclusivo;NA
c28;R&D investment;NA;F&E-Investitionen;NA;investissement en R&D;NA;investimenti in R&S;NA
c29;green product*;NA;grünes Produkt*;NA;produit vert;NA;prodotto verde*;NA
c30;sustainable manufacturing;cradle to cradle;nachhaltige Produktion;Von der Wiege bis zur Wiege;fabrication durable;du berceau au berceau;produzione sostenibile;dalla culla alla culla
c31;sustainable manufacturing;industry;Nachhaltige Fertigung;Industrie;fabrication durable;industrie;produzione sostenibile;industria
c32;closed loop supply chain;industrial;geschlossene Lieferkette;Industrie;chaîne d'approvisionnement en boucle fermée;industrie;catena di fornitura a ciclo chiuso;industriale
c33;closed loop supply chain;innovation;geschlossene Lieferkette;Innovation;chaîne d'approvisionnement en circuit fermé;innovation;catena di fornitura a ciclo chiuso;innovazione
c34;process innovation;product innovation;Prozessinnovation;Produktinnovation;innovation de processus;innovation de produit;innovazione di processo;innovazione di prodotto
c35;process innovation;inclusive innovation;Prozessinnovation;integrative Innovation;innovation de processus;innovation inclusive;innovazione di processo;innovazione inclusiva
 ;;;;;;;;
