c1;academic entrepreneur;NA;akademischer Unternehmer;NA;entrepreneur universitaire;NA;imprenditore accademico;NA
c2;accelerating change;NA;Beschleunigung des Wandels;NA;accélérer le changement;NA;accelerare il cambiamento;NA
c3;access to finance;NA;Zugang zu Finanzmitteln;NA;accès au financement;NA;accesso ai finanziamenti;NA
c4;access to the internet;NA;Zugang zum Internet;NA;accès à l'internet;NA;accesso a internet;NA
c5;actor–network theory;NA;Theorie der Akteursnetzwerke;NA;théorie de l'acteur-réseau;NA;teoria dell'attore-rete;NA
c6;advanced energy materials;NA;fortschrittliche Energiematerialien;NA;matériaux énergétiques avancés;NA;materiali energetici avanzati;NA
c7;advanced innovation design approach;NA;Fortgeschrittener Ansatz für Innovationsdesign;NA;approche avancée de la conception de l'innovation;NA;approccio al design dell'innovazione avanzata;NA
c8;advanced manufacturing;NA;fortschrittliche Fertigung;NA;théorie de l'acteur-réseau;NA;produzione avanzata;NA
c9;advertising campaign;NA;Werbekampagne;NA;campagne publicitaire;NA;campagna pubblicitaria;NA
c10;agricultural value chain;NA;landwirtschaftliche Wertschöpfungskette;NA;chaîne de valeur agricole;NA;catena del valore agricolo;NA
c11;ai aftermath scenarios;NA;KI-Nachsorge-Szenarien;NA;scénarios de conséquences de l'ai;NA;scenari postumi ai;NA
c12;amber road;NA;Gelbe Straße;NA;route ambre;NA;strada ambrata;NA
c13;automated driving system;NA;automatisiertes Fahren;NA;système de conduite automatisée;NA;sistema di guida automatica;NA
c14;automaton;NA;automat;NA;automate;NA;automa;NA
c15;autonomous cargo ship;NA;Autonomes Frachtschiff;NA;cargo autonome;NA;nave da carico autonoma;NA
c16;autonomous logistics;NA;autonome Logistik;NA;logistique autonome;NA;logistica autonoma;NA
c17;autonomous rail rapid transit;NA;Autonomer Schienenschnellverkehr;NA;transport ferroviaire rapide autonome;NA;transito rapido ferroviario autonomo;NA
c18;balanced-growth equilibrium;NA;Gleichgewichts-Wachstums-Gleichgewicht;NA;équilibre de croissance équilibrée;NA;equilibrio di crescita bilanciata;NA
c19;bass diffusion model;NA;Bass-Diffusionsmodell;NA;modèle de diffusion de la basse;NA;modello di diffusione basso;NA
c20;belt and road initiative;NA;Gürtel- und Straßeninitiative;NA;initiative de la ceinture et de la route;NA;iniziativa della cintura e della strada;NA
c21;bilateral investment treaty;NA;bilaterales Investitionsabkommen;NA;traité bilatéral d'investissement;NA;trattato di investimento bilaterale;NA
c22;bitmarkets;NA;bitmarkets;NA;bitmarkets;NA;bitmarkets;NA
c23;blue skies research;NA;forschung zum blauen himmel;NA;recherche sur le ciel bleu;NA;ricerca sui cieli blu;NA
c24;brand architecture;NA;Markenarchitektur;NA;architecture de marque;NA;architettura del marchio;NA
c25;brand implementation;NA;Markenimplementierung;NA;mise en œuvre de la marque;NA;implementazione del marchio;NA
c26;broadband;NA;breitband;NA;large bande;NA;banda larga;NA
c27;build–operate–transfer;NA;bauen-betreiben-übertragen;NA;construire-exploiter-transférer;NA;costruire-operare-trasferire;NA
c28;business plan;NA;Geschäftsplan;NA;plan d'affaires;NA;business plan;NA
c29;cable internet access;NA;Kabel-Internetzugang;NA;accès internet par câble;NA;accesso internet via cavo;NA
c30;capacity building;NA;Kapazitätsaufbau;NA;renforcement des capacités;NA;costruzione di capacità;NA
c31;capital control;NA;Kapitalverkehrskontrolle;NA;contrôle du capital;NA;controllo del capitale;NA
c32;capitalism without growth;NA;Kapitalismus ohne Wachstum;NA;capitalisme sans croissance;NA;capitalismo senza crescita;NA
c33;catapult centres;NA;Katapult-Zentren;NA;centres de catapultage;NA;centri di catapulta;NA
c34;cellular infrastructure;NA;zellulare Infrastruktur;NA;infrastructure cellulaire;NA;infrastruttura cellulare;NA
c35;cellular networks;NA;zellulare Netzwerke;NA;réseaux cellulaires;NA;reti cellulari;NA
c36;certificate of origin;NA;Herkunftsnachweis;NA;certificat d'origine;NA;certificato di origine;NA
c37;cloud infrastructure;NA;Cloud-Infrastruktur;NA;infrastructure en nuage;NA;infrastruttura cloud;NA
c38;clusters of innovation;NA;Innovationscluster;NA;clusters d'innovation;NA;cluster di innovazione;NA
c39;co-creation;NA;Ko-Kreation;NA;co-création;NA;co-creazione;NA
c40;commercial intelligence;NA;kommerzielle Intelligenz;NA;intelligence commerciale;NA;intelligenza commerciale;NA
c41;commodity market;NA;Rohstoffmarkt;NA;marché des produits de base;NA;mercato delle materie prime;NA
c42;communication infrastructure;NA;Kommunikationsinfrastruktur;NA;infrastructure de communication;NA;infrastruttura di comunicazione;NA
c43;communication networks;NA;Kommunikationsnetze;NA;réseaux de communication;NA;reti di comunicazione;NA
c44;communities of innovation;NA;Gemeinschaften der Innovation;NA;communautés d'innovation;NA;comunità di innovazione;NA
c45;community capitalism;NA;Gemeinschaftskapitalismus;NA;capit capit capit capit capit capitalisme communautaire;NA;capitalismo comunitario;NA
c46;community development bank;NA;Bank für kommunale Entwicklung;NA;banque de développement communautaire;NA;banca di sviluppo comunitario;NA
c47;community networks;NA;Gemeinschaftsnetze;NA;réseaux communautaires;NA;reti comunitarie;NA
c48;competitive intelligence;NA;Competitive Intelligence;NA;intelligence compétitive;NA;intelligenza competitiva;NA
c49;computer technology for developing areas;NA;Computertechnologie für Entwicklungsgebiete;NA;technologie informatique pour les zones en développement;NA;tecnologia informatica per le aree in via di sviluppo;NA
c50;cooperative banking;NA;Genossenschaftsbankwesen;NA;banque coopérative;NA;banca cooperativa;NA
c51;creative entrepreneurship;NA;kreatives Unternehmertum;NA;entrepreneuriat créatif;NA;imprenditorialità creativa;NA
c52;creative problem-solving;NA;kreative Problemlösung;NA;résolution créative de problèmes;NA;risoluzione creativa dei problemi;NA
c53;creativity;NA;Kreativität;NA;créativité;NA;creatività;NA
c54;debt relief;NA;Schuldenerlass;NA;allègement de la dette;NA;riduzione del debito;NA
c55;democratisation of technology;NA;Demokratisierung der Technologie;NA;démocratisation de la technologie;NA;democratizzazione della tecnologia;NA
c56;design management;NA;Designmanagement;NA;gestion du design;NA;gestione del design;NA
c57;development ethics;NA;Entwicklungsethik;NA;éthique du développement;NA;etica dello sviluppo;NA
c58;development finance institution;NA;Entwicklungsfinanzierungsinstitut;NA;de l'institution de financement du développement;NA;istituzione finanziaria per lo sviluppo;NA
c59;disruptive innovation;NA;disruptive Innovation;NA;innovation disruptive;NA;innovazione dirompente;NA
c60;disruptive solutions process;NA;disruptiver Lösungsprozess;NA;processus de solutions perturbatrices;NA;processo di soluzioni dirompenti;NA
c61;domestic firms;NA;einheimische Firmen;NA;entreprises nationales;NA;imprese nazionali;NA
c62;early adopter;NA;Early Adopter;NA;adoption précoce;NA;early adopter;NA
c63;earth economics;NA;Erdwirtschaft;NA;économie de la terre;NA;economia della terra;NA
c64;eco-innovation;NA;Öko-Innovation;NA;éco-innovation;NA;eco-innovazione;NA
c65;eco-investing;NA;Öko-Investitionen;NA;éco-investissement;NA;eco-investimento;NA
c66;ecological economics;NA;Ökologische Ökonomie;NA;économie écologique;NA;economia ecologica;NA
c67;ecological footprint;NA;Ökologischer Fußabdruck;NA;empreinte écologique;NA;impronta ecologica;NA
c68;ecomechatronics;NA;Ökomechatronik;NA;ecomechatronics;NA;ecomeccatronica;NA
c69;economic development;NA;wirtschaftliche Entwicklung;NA;développement économique;NA;sviluppo economico;NA
c70;economic growth;NA;wirtschaftliches Wachstum;NA;croissance économique;NA;crescita economica;NA
c71;economic spin-off;NA;wirtschaftlicher Nebeneffekt;NA;spin-off économique;NA;spin-off economico;NA
c72;economic stagnation;NA;Wirtschaftliche Stagnation;NA;stagnation économique;NA;stagnazione economica;NA
c73;economic transformation;NA;wirtschaftlicher Wandel;NA;transformation économique;NA;trasformazione economica;NA
c74;ecopreneurship;NA;Ökopreneurship;NA;écopreneuriat;NA;ecopreneurship;NA
c75;ecotechnology;NA;Ökotechnologie;NA;écotechnologie;NA;ecotecnologia;NA
c76;emerging market;NA;aufstrebender Markt;NA;marché émergent;NA;mercato emergente;NA
c77;enabling technology;NA;Grundlagentechnologie;NA;technologie habilitante;NA;tecnologia abilitante;NA
c78;endogenous growth theory;NA;Theorie des endogenen Wachstums;NA;théorie de la croissance endogène;NA;teoria della crescita endogena;NA
c79;energy quality;NA;Energiequalität;NA;qualité de l énergie;NA;qualità dell'energia;NA
c80;entrepreneurship;NA;Unternehmertum;NA;entrepreneuriat;NA;imprenditorialità;NA
c81;entrepreneurship ecosystem;NA;Ökosystem des Unternehmertums;NA;écosystème entrepreneurial;NA;ecosistema imprenditoriale;NA
c82;entrepreneurship education;NA;Ausbildung zum Unternehmertum;NA;éducation à l'esprit d'entreprise;NA;educazione all'imprenditorialità;NA
c83;environmental economics;NA;Umweltökonomie;NA;économie de l environnement;NA;economia ambientale;NA
c84;environmental full-cost accounting;NA;Umwelt-Vollkostenrechnung;NA;comptabilité environnementale en coûts complets;NA;contabilità ambientale a costi pieni;NA
c85;environmental technology;NA;Umwelttechnologie;NA;technologie environnementale;NA;tecnologia ambientale;NA
c86;environmentally sound technologies;NA;Umweltverträgliche Technologien;NA;technologie de l'environnement;NA;tecnologie ecologiche;NA
c87;ethical banking;NA;Ethisches Bankwesen;NA;par par l environnement;NA;banca etica;NA
c88;export parity price;NA;Exportparitätspreis;NA;prix à l'export;NA;parità di prezzo all'esportazione;NA
c89;fair chain;NA;faire Kette;NA;chaîne juste;NA;catena equa;NA
c90;fair trade;NA;Fairer Handel;NA;commerce équitable;NA;commercio equo e solidale;NA
c91;female entrepreneurs;NA;Unternehmerinnen;NA;femmes entrepreneurs;NA;imprenditoria femminile;NA
c92;financial innovation;NA;Finanzinnovation;NA;innovation financière;NA;innovazione finanziaria;NA
c93;financial performance;NA;Finanzielle Leistungsfähigkeit;NA;performance financière;NA;performance finanziaria;NA
c94;financial sector development;NA;Entwicklung des Finanzsektors;NA;développement du secteur financier;NA;sviluppo del settore finanziario;NA
c95;firm heterogeneity;NA;Heterogenität der Unternehmen;NA;hétérogénéité ferme;NA;eterogeneità dell'impresa;NA
c96;fiscal policy;NA;Steuerpolitik;NA;politique fiscale;NA;politica fiscale;NA
c97;foreign direct investment;NA;ausländische Direktinvestitionen;NA;investissement direct étranger;NA;investimenti diretti esteri;NA
c98;foreign firms;NA;ausländische Firmen;NA;entreprises étrangères;NA;imprese straniere;NA
c99;foundational innovation;NA;Grundlegende Innovation;NA;innovation fondamentale;NA;innovazione fondamentale;NA
c100;fte researchers;NA;Forscher in Vollzeitäquivalenten;NA;chercheurs fte;NA;ricercatori fte;NA
c101;full time equivalent researchers;NA;Forscher in Vollzeitäquivalenten;NA;chercheurs en équivalent temps plein;NA;ricercatori equivalenti a tempo pieno;NA
c102;funding of science;NA;Finanzierung der Wissenschaft;NA;financement de la science;NA;finanziamento della scienza;NA
c103;global financial system;NA;globales Finanzsystem;NA;système financier mondial;NA;sistema finanziario globale;NA
c104;global innovation index;NA;globaler Innovationsindex;NA;l'innovation du système d'innovation mondial;NA;indice di innovazione globale;NA
c105;global sourcing;NA;Global Sourcing;NA;approvisionnement mondial;NA;approvvigionamento globale;NA
c106;globalisation;NA;Globalisierung;NA;mondialisation;NA;globalizzazione;NA
c107;green economy;NA;grüne Wirtschaft;NA;économie verte;NA;economia verde;NA
c108;green market;NA;grüner Markt;NA;marché vert;NA;mercato verde;NA
c109;hidden innovation;NA;versteckte Innovation;NA;innovation cachée;NA;innovazione nascosta;NA
c110;human rights and development;NA;menschenrechte und entwicklung;NA;droits de l'homme et développement;NA;diritti umani e sviluppo;NA
c111;ict access;NA;IKT-Zugang;NA;accès tic;NA;accesso ict;NA
c112;ideas bank;NA;Ideenbank;NA;banque d'idées;NA;banca delle idee;NA
c113;inclusive business;NA;integratives unternehmen;NA;entreprise inclusive;NA;business inclusivo;NA
c114;inclusive entrepreneurship;NA;integratives Unternehmertum;NA;entrepreneuriat inclusif;NA;imprenditorialità inclusiva;NA
c115;indigenous development;NA;Einheimische Entwicklung;NA;développement indigène;NA;sviluppo indigeno;NA
c116;induced innovation;NA;induzierte Innovation;NA;innovation induite;NA;innovazione indotta;NA
c117;industrial applications;NA;industrielle Anwendungen;NA;applications industrielles;NA;applicazioni industriali;NA
c118;industrial companies;NA;Industrieunternehmen;NA;entreprise industrielle;NA;aziende industriali;NA
c119;industrial development;NA;industrielle Entwicklung;NA;développement industriel;NA;sviluppo industriale;NA
c120;industrial diversification;NA;industrielle Diversifizierung;NA;diversification industrielle;NA;diversificazione industriale;NA
c121;industrial ecology;NA;Industrielle Ökologie;NA;écologie industrielle;NA;ecologia industriale;NA
c122;industrial enterprise;NA;Industrieunternehmen;NA;entreprise industrielle;NA;impresa industriale;NA
c123;industrial enterprises;NA;Industrieunternehmen;NA;entreprises industrielles;NA;imprese industriali;NA
c124;industrial internationalisation;NA;Internationalisierung der Industrie;NA;internationalisation industrielle;NA;internazionalizzazione industriale;NA
c125;industrial internet of things;NA;Industrielles Internet der Dinge;NA;internet industriel des objets;NA;internet industriale delle cose;NA
c126;industrial processes;NA;Industrielle Prozesse;NA;processus industriels;NA;processi industriali;NA
c127;industrial sectors;NA;Industrielle Sektoren;NA;secteur industriel;NA;settori industriali;NA
c128;industrialisation;NA;Industrialisierung;NA;industrialisation;NA;industrializzazione;NA
c129;industrialization;NA;Industrialisierung;NA;industrialisation;NA;industrializzazione;NA
c130;industrialization and urbanisation;NA;Industrialisierung und Urbanisierung;NA;industrialisation et urbanisation;NA;industrializzazione e urbanizzazione;NA
c131;informal economy;NA;informelle Wirtschaft;NA;économie informelle;NA;economia informale;NA
